Area,Type,Date,Real GDP (Legacy),Real Personal Income per Capita
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2021-12-31,42806.847,57107.2
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2022-12-31,,54214.6
"Altoona, PA",MSA,2001-12-31,4668.334,33589.2
"Altoona, PA",MSA,2002-12-31,4666.244,34303.3
"Altoona, PA",MSA,2003-12-31,4783.007,34934.0
"Altoona, PA",MSA,2004-12-31,4982.103,35778.5
"Altoona, PA",MSA,2005-12-31,5137.575,36105.9
"Altoona, PA",MSA,2006-12-31,5224.819,36155.8
"Altoona, PA",MSA,2007-12-31,5158.237,36992.0
"Altoona, PA",MSA,2008-12-31,5159.936,37332.8
"Altoona, PA",MSA,2009-12-31,5150.666,37960.8
"Altoona, PA",MSA,2010-12-31,5223.403,38695.0
"Altoona, PA",MSA,2011-12-31,5214.591,39827.3
"Altoona, PA",MSA,2012-12-31,5164.555,39745.0
"Altoona, PA",MSA,2013-12-31,5174.327,39149.6
"Altoona, PA",MSA,2014-12-31,5186.277,40147.7
"Altoona, PA",MSA,2015-12-31,5248.749,42081.0
"Altoona, PA",MSA,2016-12-31,5299.465,42330.0
"Altoona, PA",MSA,2017-12-31,5411.742,42753.8
"Altoona, PA",MSA,2018-12-31,5446.625,44076.7
"Altoona, PA",MSA,2019-12-31,5561.747,44804.7
"Altoona, PA",MSA,2020-12-31,5371.108,48600.5
"Altoona, PA",MSA,2021-12-31,5585.623,50606.8
"Altoona, PA",MSA,2022-12-31,,47483.1
"Amarillo, TX",MSA,2001-12-31,9749.376,35111.3
"Amarillo, TX",MSA,2002-12-31,9944.163,35462.2
"Amarillo, TX",MSA,2003-12-31,10065.296,35770.4
"Amarillo, TX",MSA,2004-12-31,10188.396,35077.2
"Amarillo, TX",MSA,2005-12-31,10259.696,35912.4
"Amarillo, TX",MSA,2006-12-31,10790.091,36999.3
"Amarillo, TX",MSA,2007-12-31,11053.962,38106.5
"Amarillo, TX",MSA,2008-12-31,11145.554,41140.0
"Amarillo, TX",MSA,2009-12-31,11101.029,39632.1
"Amarillo, TX",MSA,2010-12-31,11503.1,42022.3
"Amarillo, TX",MSA,2011-12-31,11589.043,43177.4
"Amarillo, TX",MSA,2012-12-31,11481.042,43020.2
"Amarillo, TX",MSA,2013-12-31,11719.242,42919.0
"Amarillo, TX",MSA,2014-12-31,11999.812,43989.6
"Amarillo, TX",MSA,2015-12-31,12404.774,43936.6
"Amarillo, TX",MSA,2016-12-31,12306.161,43247.2
"Amarillo, TX",MSA,2017-12-31,12260.362,44042.2
"Amarillo, TX",MSA,2018-12-31,12654.92,44846.7
"Amarillo, TX",MSA,2019-12-31,12977.054,46727.8
"Amarillo, TX",MSA,2020-12-31,13132.884,49813.6
"Amarillo, TX",MSA,2021-12-31,13706.132,51736.9
"Amarillo, TX",MSA,2022-12-31,,49227.2
"Ames, IA",MSA,2001-12-31,4024.987,36524.6
"Ames, IA",MSA,2002-12-31,4186.496,36906.5
"Ames, IA",MSA,2003-12-31,4390.763,37464.9
"Ames, IA",MSA,2004-12-31,4576.576,38312.2
"Ames, IA",MSA,2005-12-31,4699.599,38084.6
"Ames, IA",MSA,2006-12-31,4806.415,39279.4
"Ames, IA",MSA,2007-12-31,4908.969,40059.0
"Ames, IA",MSA,2008-12-31,5033.459,40359.1
"Ames, IA",MSA,2009-12-31,4952.101,39102.8
"Ames, IA",MSA,2010-12-31,5003.547,38382.5
"Ames, IA",MSA,2011-12-31,5164.433,39736.5
"Ames, IA",MSA,2012-12-31,5323.749,42003.5
"Ames, IA",MSA,2013-12-31,5645.423,39778.1
"Ames, IA",MSA,2014-12-31,5777.842,40210.3
"Ames, IA",MSA,2015-12-31,5796.587,40922.8
"Ames, IA",MSA,2016-12-31,5655.314,40675.0
"Ames, IA",MSA,2017-12-31,5843.706,40705.1
"Ames, IA",MSA,2018-12-31,5903.394,41980.2
"Ames, IA",MSA,2019-12-31,5973.064,42557.2
"Ames, IA",MSA,2020-12-31,5900.519,43829.2
"Ames, IA",MSA,2021-12-31,6166.437,45412.9
"Ames, IA",MSA,2022-12-31,,43653.9
"Anchorage, AK",MSA,2001-12-31,17737.364,48194.9
"Anchorage, AK",MSA,2002-12-31,18065.608,49360.7
"Anchorage, AK",MSA,2003-12-31,18508.998,49773.2
"Anchorage, AK",MSA,2004-12-31,18970.325,50131.5
"Anchorage, AK",MSA,2005-12-31,19794.149,51163.5
"Anchorage, AK",MSA,2006-12-31,19878.7,52128.4
"Anchorage, AK",MSA,2007-12-31,20192.539,54769.7
"Anchorage, AK",MSA,2008-12-31,20999.119,58057.8
"Anchorage, AK",MSA,2009-12-31,21975.643,56833.7
"Anchorage, AK",MSA,2010-12-31,22871.582,58264.8
"Anchorage, AK",MSA,2011-12-31,23297.944,59320.6
"Anchorage, AK",MSA,2012-12-31,23336.67,58949.7
"Anchorage, AK",MSA,2013-12-31,22730.48,56611.4
"Anchorage, AK",MSA,2014-12-31,22814.95,58470.9
"Anchorage, AK",MSA,2015-12-31,23822.612,60440.7
"Anchorage, AK",MSA,2016-12-31,23937.766,58338.1
"Anchorage, AK",MSA,2017-12-31,23518.302,58110.1
"Anchorage, AK",MSA,2018-12-31,23724.15,59473.6
"Anchorage, AK",MSA,2019-12-31,23695.845,59972.7
"Anchorage, AK",MSA,2020-12-31,22746.343,60881.5
"Anchorage, AK",MSA,2021-12-31,23107.205,61953.0
"Anchorage, AK",MSA,2022-12-31,,60810.6
"Ann Arbor, MI",MSA,2001-12-31,18822.168,49569.6
"Ann Arbor, MI",MSA,2002-12-31,19988.229,50128.4
"Ann Arbor, MI",MSA,2003-12-31,20334.873,50856.1
"Ann Arbor, MI",MSA,2004-12-31,20248.326,49694.7
"Ann Arbor, MI",MSA,2005-12-31,20738.842,48755.4
"Ann Arbor, MI",MSA,2006-12-31,20607.501,48791.3
"Ann Arbor, MI",MSA,2007-12-31,20947.088,48836.3
"Ann Arbor, MI",MSA,2008-12-31,19661.278,50115.3
"Ann Arbor, MI",MSA,2009-12-31,18105.025,46820.5
"Ann Arbor, MI",MSA,2010-12-31,18709.223,50519.2
"Ann Arbor, MI",MSA,2011-12-31,18841.041,48582.4
"Ann Arbor, MI",MSA,2012-12-31,19389.703,50355.8
"Ann Arbor, MI",MSA,2013-12-31,19527.688,49439.4
"Ann Arbor, MI",MSA,2014-12-31,19825.963,50585.1
"Ann Arbor, MI",MSA,2015-12-31,20618.242,52957.0
"Ann Arbor, MI",MSA,2016-12-31,21117.51,54188.8
"Ann Arbor, MI",MSA,2017-12-31,21787.736,55488.6
"Ann Arbor, MI",MSA,2018-12-31,22318.887,56602.2
"Ann Arbor, MI",MSA,2019-12-31,22967.261,58670.5
"Ann Arbor, MI",MSA,2020-12-31,22506.424,61744.0
"Ann Arbor, MI",MSA,2021-12-31,23859.602,64120.6
"Ann Arbor, MI",MSA,2022-12-31,,61502.0
"Anniston-Oxford, AL",MSA,2001-12-31,3487.094,30755.2
"Anniston-Oxford, AL",MSA,2002-12-31,3585.435,31631.6
"Anniston-Oxford, AL",MSA,2003-12-31,3716.295,32326.3
"Anniston-Oxford, AL",MSA,2004-12-31,4032.708,33270.7
"Anniston-Oxford, AL",MSA,2005-12-31,4275.113,33431.7
"Anniston-Oxford, AL",MSA,2006-12-31,4285.067,33776.0
"Anniston-Oxford, AL",MSA,2007-12-31,4400.426,34684.7
"Anniston-Oxford, AL",MSA,2008-12-31,4438.806,34666.3
"Anniston-Oxford, AL",MSA,2009-12-31,4197.841,33885.8
"Anniston-Oxford, AL",MSA,2010-12-31,4366.524,34192.7
"Anniston-Oxford, AL",MSA,2011-12-31,4160.592,34099.3
"Anniston-Oxford, AL",MSA,2012-12-31,4155.626,33795.6
"Anniston-Oxford, AL",MSA,2013-12-31,4026.676,32999.9
"Anniston-Oxford, AL",MSA,2014-12-31,3863.268,33385.3
"Anniston-Oxford, AL",MSA,2015-12-31,3805.848,34566.9
"Anniston-Oxford, AL",MSA,2016-12-31,3845.108,34587.8
"Anniston-Oxford, AL",MSA,2017-12-31,3894.794,34675.0
"Anniston-Oxford, AL",MSA,2018-12-31,3949.243,34907.9
"Anniston-Oxford, AL",MSA,2019-12-31,4139.002,35499.8
"Anniston-Oxford, AL",MSA,2020-12-31,4026.694,37837.2
"Anniston-Oxford, AL",MSA,2021-12-31,4245.199,39490.8
"Anniston-Oxford, AL",MSA,2022-12-31,,36653.1
"Appleton, WI",MSA,2001-12-31,9575.401,41582.1
"Appleton, WI",MSA,2002-12-31,9596.182,41998.6
"Appleton, WI",MSA,2003-12-31,9904.292,41741.4
"Appleton, WI",MSA,2004-12-31,10205.105,41813.2
"Appleton, WI",MSA,2005-12-31,10496.355,41714.9
"Appleton, WI",MSA,2006-12-31,10704.752,42158.1
"Appleton, WI",MSA,2007-12-31,10769.799,42893.2
"Appleton, WI",MSA,2008-12-31,10638.599,43235.3
"Appleton, WI",MSA,2009-12-31,10281.307,42204.3
"Appleton, WI",MSA,2010-12-31,10493.21,42456.9
"Appleton, WI",MSA,2011-12-31,10848.469,43743.9
"Appleton, WI",MSA,2012-12-31,11263.96,44368.3
"Appleton, WI",MSA,2013-12-31,11093.454,44141.0
"Appleton, WI",MSA,2014-12-31,11514.318,45266.5
"Appleton, WI",MSA,2015-12-31,12069.904,46711.4
"Appleton, WI",MSA,2016-12-31,12392.156,47477.1
"Appleton, WI",MSA,2017-12-31,12578.451,48157.2
"Appleton, WI",MSA,2018-12-31,13058.131,48964.3
"Appleton, WI",MSA,2019-12-31,13391.072,50174.0
"Appleton, WI",MSA,2020-12-31,12831.068,52509.8
"Appleton, WI",MSA,2021-12-31,13475.866,54141.8
"Appleton, WI",MSA,2022-12-31,,51757.2
Arizona,State,2001-12-31,213166.2,35783.6
Arizona,State,2002-12-31,220696.7,35817.4
Arizona,State,2003-12-31,234065.9,36440.1
Arizona,State,2004-12-31,244317.3,37774.2
Arizona,State,2005-12-31,262326.0,39146.3
Arizona,State,2006-12-31,274179.4,40809.8
Arizona,State,2007-12-31,283250.7,41107.3
Arizona,State,2008-12-31,280810.1,39908.7
Arizona,State,2009-12-31,257498.5,37636.4
Arizona,State,2010-12-31,260307.1,37314.0
Arizona,State,2011-12-31,266101.5,37977.3
Arizona,State,2012-12-31,271440.0,38433.8
Arizona,State,2013-12-31,273481.9,38501.4
Arizona,State,2014-12-31,276948.9,39352.9
Arizona,State,2015-12-31,282577.0,40942.2
Arizona,State,2016-12-31,291275.2,41840.2
Arizona,State,2017-12-31,303606.1,43207.7
Arizona,State,2018-12-31,314827.5,44352.1
Arizona,State,2019-12-31,325395.3,46074.3
Arizona,State,2020-12-31,327178.0,49823.8
Arizona,State,2021-12-31,347656.0,51761.1
Arizona,State,2022-12-31,,50362.4
Arkansas,State,2001-12-31,89789.0,31660.0
Arkansas,State,2002-12-31,92950.5,31825.0
Arkansas,State,2003-12-31,96944.5,32818.7
Arkansas,State,2004-12-31,101733.6,33853.7
Arkansas,State,2005-12-31,105980.0,34145.9
Arkansas,State,2006-12-31,108460.6,34789.1
Arkansas,State,2007-12-31,107606.1,35835.6
Arkansas,State,2008-12-31,106536.5,36062.2
Arkansas,State,2009-12-31,102996.6,35324.5
Arkansas,State,2010-12-31,105662.0,35594.7
Arkansas,State,2011-12-31,107932.5,36830.6
Arkansas,State,2012-12-31,108492.1,38385.6
Arkansas,State,2013-12-31,110752.4,37883.0
Arkansas,State,2014-12-31,111734.5,39351.2
Arkansas,State,2015-12-31,112351.0,40355.5
Arkansas,State,2016-12-31,112798.1,40880.8
Arkansas,State,2017-12-31,113850.2,41402.1
Arkansas,State,2018-12-31,115885.2,42166.3
Arkansas,State,2019-12-31,117126.2,42266.2
Arkansas,State,2020-12-31,117268.2,45059.1
Arkansas,State,2021-12-31,123347.3,47372.4
Arkansas,State,2022-12-31,,45343.5
"Asheville, NC",MSA,2001-12-31,13425.564,36015.1
"Asheville, NC",MSA,2002-12-31,13811.646,35554.8
"Asheville, NC",MSA,2003-12-31,14070.05,35218.3
"Asheville, NC",MSA,2004-12-31,14534.575,36476.4
"Asheville, NC",MSA,2005-12-31,15015.181,36917.5
"Asheville, NC",MSA,2006-12-31,15557.911,38290.9
"Asheville, NC",MSA,2007-12-31,15269.032,38968.2
"Asheville, NC",MSA,2008-12-31,15433.867,38723.5
"Asheville, NC",MSA,2009-12-31,14784.979,37406.5
"Asheville, NC",MSA,2010-12-31,15402.116,37168.1
"Asheville, NC",MSA,2011-12-31,15684.032,37465.7
"Asheville, NC",MSA,2012-12-31,15399.348,38542.5
"Asheville, NC",MSA,2013-12-31,15754.006,37637.8
"Asheville, NC",MSA,2014-12-31,16330.186,39228.8
"Asheville, NC",MSA,2015-12-31,16573.189,41055.9
"Asheville, NC",MSA,2016-12-31,17092.223,42033.2
"Asheville, NC",MSA,2017-12-31,17997.018,42869.6
"Asheville, NC",MSA,2018-12-31,18663.874,44087.9
"Asheville, NC",MSA,2019-12-31,19351.713,46135.9
"Asheville, NC",MSA,2020-12-31,18487.288,47879.0
"Asheville, NC",MSA,2021-12-31,19899.215,50963.4
"Asheville, NC",MSA,2022-12-31,,49817.9
"Athens-Clarke County, GA",MSA,2001-12-31,6632.994,32601.4
"Athens-Clarke County, GA",MSA,2002-12-31,6711.134,32912.1
"Athens-Clarke County, GA",MSA,2003-12-31,7077.087,33431.5
"Athens-Clarke County, GA",MSA,2004-12-31,7223.676,33289.8
"Athens-Clarke County, GA",MSA,2005-12-31,7363.263,33784.9
"Athens-Clarke County, GA",MSA,2006-12-31,7376.961,33576.0
"Athens-Clarke County, GA",MSA,2007-12-31,7470.775,33842.2
"Athens-Clarke County, GA",MSA,2008-12-31,7482.382,33361.1
"Athens-Clarke County, GA",MSA,2009-12-31,7413.971,32800.9
"Athens-Clarke County, GA",MSA,2010-12-31,7405.445,32598.6
"Athens-Clarke County, GA",MSA,2011-12-31,7344.926,33105.0
"Athens-Clarke County, GA",MSA,2012-12-31,7708.527,33610.3
"Athens-Clarke County, GA",MSA,2013-12-31,7817.385,33459.7
